User_ID,Age,Gender,Location,Subscription_Start_Date,Subscription_Type,Monthly_Payment,Payment_Method,Monthly_Hours_Watched,Favorite_Genre,Devices_Used,Average_Session_Length,Content_ID,Rating_Given,Churned,Date_of_Churn,Reason_for_Churn
36,45,Female,West,2020-05-12,Premium,19.99,Credit Card,5.537169072,Drama,TV,1.724917462,1007,5,0,,
37,33,Female,Central,2022-04-19,Premium,19.99,Credit Card,11.10243122,Documentary,PC,2.76711905,1077,3,0,,
38,32,Female,South,2019-08-29,Standard,14.99,Credit Card,68.68029549,Sci-Fi,Mobile,6.68720526,1009,1,1,53:37.7,Found better service
39,64,Male,Central,2022-07-24,Standard,14.99,Direct Debit,21.44517527,Action,Tablet,0.152819232,1066,1,0,,
40,68,Male,North,2022-06-06,Premium,19.99,Credit Card,16.62040565,Action,Tablet,0.109830433,1037,2,1,53:37.7,Found better service
41,61,Male,Central,2021-08-13,Premium,19.99,Credit Card,54.04830978,Comedy,PC,5.546788891,1028,4,0,,
42,69,Male,East,2024-03-19,Standard,14.99,Credit Card,17.66252512,Documentary,Mobile,1.509515985,1014,5,0,,
43,20,Female,Central,2020-09-19,Basic,9.99,PayPal,14.93444124,Comedy,TV,1.908520132,1086,3,1,53:37.7,Found better service
44,54,Other,East,2021-12-08,Basic,9.99,Credit Card,28.48498067,Action,Mobile,1.31719627,1022,1,0,,
45,68,Male,West,2021-01-09,Basic,9.99,Credit Card,24.94217302,Drama,PC,0.196675914,1081,3,0,,
46,24,Male,East,2021-03-04,Standard,14.99,Direct Debit,4.292598119,Sci-Fi,Mobile,2.922806467,1045,5,0,,
47,38,Female,West,2022-10-30,Basic,9.99,Credit Card,12.74699533,Documentary,Mobile,2.75050822,1082,3,0,,
48,26,Other,North,2023-03-30,Standard,14.99,Credit Card,12.79271379,Drama,Mobile,0.74707063,1027,4,0,,
49,56,Other,North,2021-11-27,Standard,14.99,Direct Debit,9.503524168,Sci-Fi,Tablet,0.731256223,1025,2,0,,
50,35,Female,South,2021-12-24,Basic,9.99,Credit Card,14.56692867,Documentary,Mobile,3.638360585,1009,3,1,53:37.7,Dissatisfied with content
51,21,Female,North,2022-09-13,Premium,19.99,Credit Card,10.65826872,Documentary,PC,0.150217193,1046,2,0,,
52,42,Other,Central,2023-06-01,Standard,14.99,Credit Card,4.446514953,Action,Mobile,4.259031552,1003,5,0,,
53,31,Male,South,2019-06-22,Basic,9.99,Credit Card,10.63303606,Drama,PC,0.593208016,1054,2,0,,
54,67,Other,Central,2022-06-03,Premium,19.99,Credit Card,1.500440512,Documentary,TV,1.797809239,1065,3,0,,
55,26,Female,South,2023-06-24,Basic,9.99,Credit Card,17.15033821,Documentary,Tablet,5.497562493,1066,3,1,53:37.7,Price increase
56,43,Male,North,2022-08-28,Standard,14.99,Credit Card,38.43570698,Sci-Fi,PC,2.267168491,1006,1,0,,
57,70,Male,West,2020-07-20,Standard,14.99,Credit Card,25.84057339,Action,PC,1.070338454,1054,3,0,,
58,19,Female,West,2023-04-21,Standard,14.99,PayPal,8.938059597,Comedy,Mobile,2.339363115,1079,2,1,53:37.7,Price increase
59,37,Female,East,2023-09-17,Premium,19.99,Credit Card,1.821947844,Action,TV,0.843126897,1030,1,1,53:37.7,Personal reasons
60,45,Female,East,2019-06-02,Standard,14.99,Credit Card,4.516678323,Comedy,Mobile,0.649407086,1073,3,0,,
61,64,Other,West,2020-08-08,Standard,14.99,Direct Debit,15.77072225,Drama,Tablet,11.41755663,1018,3,1,53:37.7,Price increase
62,24,Other,South,2020-01-16,Basic,9.99,PayPal,4.640080881,Drama,PC,2.778920584,1027,5,0,,
63,61,Male,Central,2022-02-10,Basic,9.99,Credit Card,15.70407009,Documentary,Mobile,2.069698009,1080,1,1,53:37.7,Personal reasons
64,25,Female,Central,2022-11-01,Premium,19.99,Direct Debit,5.268871578,Drama,Mobile,0.877908245,1027,5,0,,
65,64,Male,West,2020-02-05,Standard,14.99,Credit Card,37.79942787,Documentary,Tablet,0.100820693,1018,5,0,,
66,52,Male,North,2022-01-02,Standard,14.99,Credit Card,10.12576775,Action,TV,0.063098729,1086,5,0,,
67,31,Male,West,2019-05-21,Standard,14.99,PayPal,5.635342034,Drama,TV,1.615685624,1019,4,0,,
68,34,Male,North,2022-02-08,Standard,14.99,Credit Card,33.46099649,Action,Tablet,2.871244196,1012,5,0,,
69,53,Female,North,2019-12-25,Basic,9.99,Credit Card,8.396523674,Action,PC,1.541695093,1076,2,0,,
70,67,Male,South,2023-11-06,Standard,14.99,Credit Card,2.364135485,Drama,TV,3.675000481,1042,3,0,,
71,57,Female,East,2021-06-07,Standard,14.99,Credit Card,16.89845659,Action,Mobile,0.06799594,1010,4,1,53:37.7,Dissatisfied with content
72,21,Female,Central,2020-01-14,Basic,9.99,Credit Card,17.42463633,Drama,Mobile,0.913786538,1047,5,1,53:37.7,Personal reasons
73,19,Other,West,2023-04-06,Basic,9.99,Direct Debit,25.08397724,Drama,PC,0.541179016,1014,3,0,,
74,23,Female,West,2019-08-14,Basic,9.99,Credit Card,5.494512306,Drama,TV,1.185782025,1016,1,0,,
75,59,Other,East,2022-03-20,Standard,14.99,Direct Debit,11.73151617,Comedy,TV,0.150258449,1053,1,0,,
76,21,Female,South,2020-03-11,Premium,19.99,Credit Card,6.635965267,Action,Tablet,6.163959517,1049,3,0,,
77,46,Female,South,2019-09-28,Basic,9.99,Direct Debit,1.688376327,Sci-Fi,Mobile,0.505287368,1027,2,1,53:37.7,Dissatisfied with content
78,35,Female,Central,2021-11-12,Basic,9.99,PayPal,41.84872448,Drama,Tablet,5.110000194,1082,3,0,,
79,43,Other,North,2020-08-19,Standard,14.99,PayPal,26.10312294,Action,Mobile,1.109879518,1003,3,0,,
80,61,Other,Central,2024-01-01,Standard,14.99,Credit Card,7.175344323,Documentary,Mobile,8.470544757,1021,4,0,,
81,51,Male,East,2020-01-07,Standard,14.99,Credit Card,18.29448883,Drama,PC,1.61513448,1085,1,0,,
82,27,Other,East,2020-01-08,Standard,14.99,Credit Card,4.494490712,Drama,Mobile,5.34245889,1038,1,0,,
83,53,Other,West,2024-05-06,Standard,14.99,Direct Debit,44.18856675,Sci-Fi,TV,0.010726692,1033,5,0,,
84,31,Other,East,2021-01-31,Standard,14.99,Direct Debit,2.441236257,Comedy,Tablet,2.758548569,1096,3,0,,
85,48,Other,Central,2019-11-06,Premium,19.99,Credit Card,0.076890525,Comedy,Tablet,4.667133268,1043,3,0,,
86,65,Male,Central,2024-04-18,Premium,19.99,Credit Card,13.94343327,Drama,Mobile,0.300996041,1041,2,0,,
87,32,Other,East,2020-08-20,Basic,9.99,Credit Card,17.4995127,Action,Mobile,0.20213029,1039,1,0,,
88,25,Female,South,2022-10-01,Basic,9.99,PayPal,17.30080148,Documentary,Mobile,1.105284445,1096,2,0,,
89,31,Female,East,2023-02-06,Basic,9.99,Credit Card,1.121080118,Documentary,TV,5.426494549,1011,4,0,,
90,40,Other,Central,2021-09-23,Standard,14.99,PayPal,7.538830236,Action,TV,1.563460938,1001,5,0,,
91,57,Other,South,2021-03-31,Premium,19.99,Direct Debit,13.83092712,Drama,Tablet,1.499250792,1027,2,0,,
92,38,Female,West,2020-10-23,Standard,14.99,Credit Card,4.881705776,Documentary,Mobile,0.304266375,1073,1,1,53:37.7,Price increase
93,33,Female,West,2023-02-17,Basic,9.99,Credit Card,41.21253479,Comedy,TV,0.001579646,1085,4,0,,
94,62,Male,West,2020-11-20,Standard,14.99,Credit Card,1.822782185,Action,Mobile,3.322937597,1080,3,0,,
95,35,Female,North,2020-09-20,Standard,14.99,Credit Card,13.36458227,Sci-Fi,Mobile,0.183297819,1089,4,0,,
96,64,Female,West,2022-09-13,Basic,9.99,Credit Card,23.51522748,Drama,Tablet,2.009423397,1066,2,0,,
97,70,Other,Central,2024-01-25,Standard,14.99,Credit Card,6.069484971,Action,TV,4.921203745,1070,1,0,,
98,41,Female,North,2021-08-23,Standard,14.99,Direct Debit,19.57613197,Documentary,Mobile,0.468034698,1071,2,0,,
99,43,Male,South,2020-11-10,Standard,14.99,Credit Card,35.36693206,Drama,Mobile,2.188879031,1083,3,1,53:37.7,Price increase
100,42,Female,Central,2020-04-21,Basic,9.99,Credit Card,4.22274273,Comedy,TV,0.163936036,1075,3,1,53:37.7,Dissatisfied with content
101,62,Other,North,2022-12-04,Basic,9.99,Direct Debit,49.83151884,Drama,Mobile,1.85144587,1098,1,0,,
102,58,Other,Central,2021-02-15,Standard,14.99,PayPal,16.12893959,Drama,Mobile,0.358089991,1080,5,0,,
103,46,Female,East,2021-12-30,Basic,9.99,Credit Card,7.111568173,Comedy,Tablet,2.663260568,1091,4,0,,
104,32,Other,South,2023-11-15,Standard,14.99,Credit Card,11.27251598,Comedy,TV,0.716870971,1009,4,0,,
105,62,Male,Central,2020-08-09,Standard,14.99,Credit Card,7.484907616,Drama,Tablet,1.244971171,1085,3,0,,
106,18,Male,East,2019-09-17,Standard,14.99,PayPal,25.82776962,Comedy,TV,1.829736199,1056,2,1,53:37.7,Dissatisfied with content
107,42,Female,East,2021-08-06,Premium,19.99,PayPal,31.82220425,Action,PC,0.375729972,1096,2,0,,
108,24,Female,South,2023-03-03,Standard,14.99,PayPal,35.78773281,Comedy,Mobile,2.706785749,1085,5,1,53:37.7,Personal reasons
109,26,Female,East,2022-05-11,Basic,9.99,Credit Card,85.04559731,Comedy,TV,0.720907981,1036,2,0,,
110,41,Other,North,2019-08-29,Standard,14.99,Direct Debit,31.33564408,Drama,Tablet,2.171620333,1076,4,0,,
111,18,Male,South,2019-08-31,Standard,14.99,Credit Card,18.39513818,Action,Mobile,0.344622972,1090,2,0,,
112,61,Male,Central,2022-01-08,Standard,14.99,Credit Card,8.286695503,Sci-Fi,Tablet,2.33025855,1063,5,0,,
113,25,Other,South,2019-09-29,Basic,9.99,Credit Card,15.73138263,Sci-Fi,Mobile,0.274363116,1078,4,0,,
114,41,Male,West,2020-08-28,Premium,19.99,Credit Card,0.83870588,Documentary,Mobile,1.108010848,1085,2,0,,
115,28,Female,South,2021-08-21,Standard,14.99,Credit Card,27.31611981,Comedy,Mobile,0.567927518,1093,4,0,,
116,68,Female,West,2019-09-14,Basic,9.99,Direct Debit,11.81020704,Comedy,Tablet,2.759632773,1039,3,0,,
117,34,Female,North,2022-08-07,Basic,9.99,Direct Debit,0.404528228,Action,TV,0.607717774,1097,3,0,,
118,25,Male,Central,2023-03-14,Basic,9.99,Credit Card,1.290918509,Sci-Fi,Tablet,4.269355622,1059,3,0,,
119,52,Female,East,2022-09-21,Premium,19.99,Credit Card,9.803031702,Documentary,TV,4.447921454,1097,2,1,53:37.7,Found better service
120,52,Other,South,2023-01-08,Basic,9.99,Credit Card,17.51360811,Action,Mobile,0.43741012,1047,5,0,,
121,50,Other,North,2019-09-28,Basic,9.99,Credit Card,12.48003384,Comedy,Mobile,1.903037766,1098,4,0,,
122,22,Male,North,2019-06-28,Premium,19.99,Credit Card,19.30984627,Sci-Fi,Mobile,0.183611467,1018,1,1,53:37.7,Personal reasons
123,59,Other,East,2023-03-22,Standard,14.99,Direct Debit,13.0898502,Documentary,Mobile,0.993638675,1071,3,1,53:37.7,Found better service
124,56,Other,South,2021-10-14,Basic,9.99,Credit Card,21.67667141,Drama,Mobile,2.498789401,1032,3,0,,
125,58,Male,Central,2021-04-25,Basic,9.99,Credit Card,4.946831132,Sci-Fi,PC,2.154229531,1043,1,0,,
126,45,Female,East,2021-03-27,Basic,9.99,Credit Card,2.394670444,Documentary,TV,1.960062713,1091,1,0,,
127,24,Female,South,2019-07-12,Basic,9.99,Direct Debit,18.14830247,Action,TV,0.664078572,1036,2,1,53:37.7,Personal reasons
128,26,Female,West,2023-06-10,Standard,14.99,PayPal,13.2597136,Drama,Mobile,0.949710597,1088,4,1,53:37.7,Price increase
129,25,Male,West,2020-07-05,Basic,9.99,Direct Debit,0.544703752,Documentary,TV,0.217278759,1035,3,0,,
130,29,Other,North,2019-06-24,Basic,9.99,PayPal,9.576266756,Documentary,Mobile,2.538963649,1080,5,0,,
131,51,Female,North,2022-07-22,Standard,14.99,Credit Card,2.243799792,Comedy,Mobile,1.401910355,1087,2,0,,
132,50,Female,North,2024-03-27,Standard,14.99,Credit Card,15.15827271,Sci-Fi,TV,2.467253898,1020,2,0,,
133,65,Male,West,2019-06-09,Standard,14.99,PayPal,10.07626137,Comedy,PC,0.57254886,1001,5,0,,
134,40,Female,West,2021-09-21,Standard,14.99,Credit Card,18.99446396,Drama,Mobile,0.784421361,1030,5,0,,
135,41,Male,East,2019-05-13,Standard,14.99,Credit Card,32.75697601,Documentary,Tablet,0.81357798,1096,5,1,53:37.7,Dissatisfied with content
136,54,Other,Central,2024-01-23,Standard,14.99,Credit Card,7.124034942,Comedy,Mobile,0.052159088,1029,1,0,,
137,52,Male,Central,2023-10-18,Standard,14.99,Credit Card,65.45719375,Sci-Fi,PC,0.834208784,1075,3,0,,
138,61,Male,East,2023-02-12,Standard,14.99,Credit Card,15.34166645,Drama,Tablet,3.25219761,1043,1,0,,
139,57,Male,Central,2020-10-25,Premium,19.99,Credit Card,19.26192427,Action,TV,4.55185703,1011,3,0,,
140,39,Male,South,2021-11-09,Basic,9.99,PayPal,22.8307532,Comedy,Mobile,1.460528409,1050,1,1,53:37.7,Found better service
141,44,Other,North,2023-10-10,Standard,14.99,Credit Card,21.97613794,Drama,Mobile,1.2157809,1048,4,0,,
142,52,Other,South,2022-10-22,Basic,9.99,Credit Card,14.30665922,Action,Tablet,0.062619383,1023,3,0,,
143,18,Female,North,2021-03-22,Standard,14.99,Credit Card,11.19906709,Comedy,Tablet,4.227309803,1023,2,0,,
144,52,Other,East,2022-05-25,Standard,14.99,Credit Card,1.105645093,Drama,Mobile,0.026191175,1059,3,0,,
145,54,Other,Central,2020-07-06,Premium,19.99,Credit Card,0.446667784,Drama,PC,5.791776781,1010,3,1,53:37.7,Price increase
146,64,Female,North,2020-01-14,Basic,9.99,Credit Card,8.862130649,Comedy,TV,1.343617931,1012,3,0,,
147,31,Other,North,2020-01-25,Standard,14.99,Credit Card,8.119131296,Drama,TV,0.836901598,1090,4,0,,
148,20,Male,East,2022-03-28,Standard,14.99,Credit Card,9.81050015,Documentary,TV,5.159800439,1071,1,0,,
149,18,Male,Central,2021-04-25,Standard,14.99,Credit Card,2.978544935,Comedy,TV,0.049386761,1073,2,1,53:37.7,Personal reasons
150,22,Female,South,2023-02-08,Standard,14.99,Credit Card,26.80106471,Drama,Tablet,1.741797885,1071,1,0,,
151,43,Female,East,2022-07-10,Standard,14.99,Credit Card,38.89323664,Action,TV,1.592276675,1063,1,1,53:37.7,Price increase
152,31,Female,North,2022-08-17,Standard,14.99,Credit Card,55.84428429,Action,Mobile,0.495180916,1019,5,0,,
153,56,Male,North,2020-02-20,Standard,14.99,Credit Card,13.55974564,Documentary,Mobile,1.120337892,1071,4,0,,
154,44,Other,Central,2019-11-21,Standard,14.99,PayPal,24.13725279,Comedy,Mobile,2.11262345,1072,5,0,,
155,26,Male,Central,2019-09-09,Basic,9.99,Credit Card,38.69659259,Drama,Tablet,2.597528348,1070,4,0,,
156,32,Female,North,2023-04-16,Premium,19.99,Credit Card,10.83570295,Drama,Mobile,0.001434232,1077,1,0,,
157,32,Other,Central,2020-08-02,Standard,14.99,Credit Card,7.404260428,Action,TV,5.524593496,1027,1,0,,
158,43,Other,West,2023-07-16,Premium,19.99,PayPal,55.20515907,Documentary,Mobile,0.359510599,1001,4,1,53:37.7,Found better service
159,59,Male,Central,2023-08-23,Basic,9.99,Direct Debit,14.50004625,Action,Mobile,0.532051046,1042,1,0,,
160,30,Female,East,2021-04-28,Premium,19.99,PayPal,13.75339962,Action,Tablet,0.611619978,1007,1,1,53:37.7,Found better service
161,68,Male,East,2023-08-13,Premium,19.99,PayPal,3.930424246,Documentary,Mobile,0.077107755,1012,2,1,53:37.7,Found better service
162,49,Other,East,2023-03-15,Standard,14.99,Credit Card,2.289258893,Comedy,Mobile,0.262615445,1084,5,0,,
163,56,Male,West,2023-09-15,Standard,14.99,PayPal,36.91673639,Drama,Mobile,8.588020225,1091,5,0,,
164,66,Male,North,2020-09-10,Standard,14.99,Credit Card,19.0452597,Comedy,Tablet,0.757305791,1034,5,0,,
165,69,Female,North,2021-08-25,Premium,19.99,Credit Card,7.885298817,Sci-Fi,Tablet,0.245015814,1022,3,0,,
166,49,Female,South,2020-07-26,Standard,14.99,Credit Card,4.257336202,Sci-Fi,PC,0.226317824,1045,2,0,,
167,21,Other,West,2020-12-17,Basic,9.99,Credit Card,16.2159821,Sci-Fi,PC,2.542077693,1014,5,1,53:37.7,Price increase
168,47,Male,South,2022-10-11,Standard,14.99,Direct Debit,17.53752043,Documentary,Tablet,3.856102443,1001,5,0,,
169,54,Male,West,2024-03-19,Premium,19.99,Credit Card,4.638479767,Action,Mobile,0.593990073,1060,2,0,,
170,40,Male,Central,2021-03-13,Premium,19.99,PayPal,38.13071655,Comedy,Mobile,0.042262424,1075,1,0,,
171,56,Other,North,2023-09-27,Premium,19.99,Credit Card,1.760551306,Drama,PC,0.504861578,1063,5,0,,
172,62,Other,West,2021-10-29,Standard,14.99,Credit Card,8.80402211,Sci-Fi,Mobile,0.116351089,1051,1,0,,
173,32,Female,East,2020-10-12,Basic,9.99,Credit Card,22.81272597,Comedy,Mobile,0.2182796,1035,5,0,,
174,60,Female,Central,2020-06-05,Basic,9.99,Credit Card,6.407421366,Sci-Fi,PC,1.129536498,1066,4,0,,
175,46,Female,North,2020-02-29,Basic,9.99,Direct Debit,35.16748361,Sci-Fi,Tablet,0.522517516,1068,3,0,,
176,53,Male,West,2020-09-27,Basic,9.99,Credit Card,26.93130836,Drama,Mobile,1.451117115,1066,5,1,53:37.7,Dissatisfied with content
177,30,Male,Central,2019-05-14,Standard,14.99,Credit Card,31.12010839,Documentary,Mobile,0.584702588,1046,4,1,53:37.7,Found better service
178,49,Female,Central,2023-08-04,Basic,9.99,Direct Debit,2.536371729,Action,TV,5.644812145,1082,2,0,,
179,24,Male,West,2020-05-06,Standard,14.99,Credit Card,3.029185751,Documentary,TV,4.727729177,1001,4,0,,
180,68,Female,East,2021-04-02,Premium,19.99,Direct Debit,6.750720702,Comedy,PC,1.673139714,1043,2,0,,
181,39,Other,West,2019-09-29,Standard,14.99,Credit Card,14.59942543,Documentary,Tablet,0.87522465,1063,5,0,,
182,45,Female,Central,2023-03-14,Premium,19.99,Credit Card,27.5677998,Comedy,Tablet,0.959774647,1080,2,0,,
183,19,Other,East,2022-09-04,Standard,14.99,Credit Card,36.22262482,Comedy,TV,1.061554287,1077,4,0,,
184,59,Male,North,2020-05-15,Basic,9.99,Credit Card,24.37058582,Action,TV,2.600815595,1027,3,0,,
185,62,Female,Central,2023-04-28,Standard,14.99,Credit Card,52.78827469,Drama,Mobile,1.201642883,1090,1,1,53:37.7,Found better service
186,70,Male,West,2024-02-24,Basic,9.99,PayPal,26.84505265,Action,TV,3.886047887,1053,1,0,,
187,23,Other,West,2019-10-23,Standard,14.99,Direct Debit,7.313387946,Documentary,Mobile,5.768195256,1073,3,1,53:37.7,Personal reasons
188,45,Other,South,2021-06-18,Standard,14.99,PayPal,6.159907536,Comedy,Mobile,0.818784077,1066,1,0,,
189,45,Other,West,2021-01-11,Basic,9.99,Credit Card,23.82721676,Sci-Fi,PC,1.645120332,1035,5,0,,
190,61,Male,South,2020-07-19,Basic,9.99,Credit Card,4.285424756,Sci-Fi,Tablet,0.199765618,1062,5,0,,
191,61,Male,West,2019-05-10,Standard,14.99,Credit Card,1.94596894,Comedy,TV,0.447460066,1024,4,0,,
192,37,Male,North,2020-04-23,Premium,19.99,Credit Card,15.1952665,Action,Mobile,1.067048488,1085,4,0,,
193,47,Male,West,2023-10-25,Standard,14.99,PayPal,34.47920201,Drama,Tablet,0.46185432,1047,2,0,,
194,28,Other,Central,2021-02-12,Standard,14.99,Credit Card,2.137897009,Action,TV,4.184008094,1038,4,0,,
195,45,Other,North,2021-01-27,Basic,9.99,Credit Card,31.39389708,Comedy,TV,0.344630588,1046,5,1,53:37.7,Personal reasons
196,42,Female,Central,2022-01-11,Standard,14.99,Credit Card,33.38078662,Comedy,Mobile,1.216365473,1093,4,1,53:37.7,Found better service
197,56,Female,East,2021-06-07,Standard,14.99,Direct Debit,13.16618269,Drama,Mobile,1.861282624,1020,1,0,,
198,50,Male,Central,2021-05-16,Standard,14.99,Credit Card,1.180362346,Documentary,PC,2.354427474,1029,2,0,,
199,18,Other,West,2024-04-14,Premium,19.99,Credit Card,3.837497324,Documentary,Mobile,0.965997384,1091,2,0,,
200,44,Other,East,2023-05-13,Standard,14.99,Credit Card,24.58077187,Drama,TV,4.066628983,1030,5,0,,
201,69,Other,West,2021-05-04,Premium,19.99,Credit Card,24.88048143,Documentary,TV,1.680137479,1025,4,0,,
202,30,Female,Central,2022-10-25,Premium,19.99,Credit Card,45.72543271,Sci-Fi,Mobile,1.157879836,1021,1,0,,
203,58,Female,East,2022-07-05,Basic,9.99,Credit Card,17.47833388,Documentary,Mobile,0.139216051,1020,4,0,,
204,20,Other,South,2021-03-22,Standard,14.99,PayPal,2.650235229,Documentary,Mobile,1.249816535,1000,3,0,,
205,56,Other,West,2019-11-14,Premium,19.99,Credit Card,2.588850253,Documentary,TV,3.437789623,1036,4,0,,
206,23,Other,Central,2020-07-03,Basic,9.99,PayPal,25.54036018,Sci-Fi,Mobile,1.906640989,1076,5,0,,
207,25,Female,West,2022-06-28,Standard,14.99,Direct Debit,4.061541361,Documentary,Tablet,3.569517508,1084,4,0,,
208,44,Other,West,2020-10-01,Premium,19.99,PayPal,7.961415264,Sci-Fi,Tablet,1.362483349,1045,2,1,53:37.7,Dissatisfied with content
209,26,Other,East,2023-02-22,Standard,14.99,Credit Card,13.35785576,Drama,Tablet,0.25217367,1008,1,1,53:37.7,Personal reasons
210,54,Male,Central,2019-09-19,Basic,9.99,Credit Card,0.501533717,Action,Mobile,0.027467446,1016,5,0,,
211,50,Male,North,2021-10-17,Standard,14.99,PayPal,5.722173605,Drama,Mobile,0.722569812,1046,3,0,,
212,68,Female,East,2024-04-30,Basic,9.99,PayPal,10.48124379,Action,TV,2.394593422,1084,1,1,53:37.7,Dissatisfied with content
213,59,Other,North,2021-01-03,Standard,14.99,Credit Card,6.559981626,Drama,TV,3.123772305,1094,1,1,53:37.7,Personal reasons
214,61,Other,South,2023-03-13,Basic,9.99,PayPal,2.932224436,Action,PC,0.701251795,1058,2,1,53:37.7,Found better service
215,41,Male,South,2019-12-28,Standard,14.99,Credit Card,26.03996558,Action,Mobile,1.368985163,1053,2,0,,
216,32,Female,South,2022-01-25,Standard,14.99,Credit Card,33.54873148,Comedy,Mobile,1.093316368,1085,2,1,53:37.7,Price increase
217,49,Male,West,2021-01-06,Standard,14.99,Credit Card,5.954081875,Action,PC,1.05703842,1011,5,0,,
218,49,Male,South,2022-10-26,Standard,14.99,Credit Card,29.78156351,Action,Mobile,0.526235751,1063,4,0,,
219,41,Male,East,2021-02-20,Standard,14.99,Credit Card,9.740670425,Comedy,TV,0.293224244,1005,1,1,53:37.7,Price increase
